"product_key","product_id","sku","product_name","category","base_cost","retail_price"
"181","1","SKU-APP-0001","Itself Public","Apparel","64.39","101.22"
"182","2","SKU-ELE-0002","Stage Cut","Electronics","258.11","336.54"
"183","3","SKU-APP-0003","Difference Region","Apparel","34.80","60.67"
"184","4","SKU-OUT-0004","Across Main","Outdoor & Gear","65.41","93.32"
"185","5","SKU-OUT-0005","Model Value","Outdoor & Gear","79.08","121.63"
"186","6","SKU-ELE-0006","Some Music","Electronics","240.26","423.31"
"187","7","SKU-APP-0007","South Spend","Apparel","64.58","90.39"
"188","8","SKU-ELE-0008","Agency Notice","Electronics","98.96","147.11"
"189","9","SKU-ELE-0009","Thousand Rise","Electronics","294.37","413.12"
"190","10","SKU-APP-0010","Throughout Up","Apparel","76.85","100.47"
"191","11","SKU-APP-0011","Look Mother","Apparel","27.33","45.75"
"192","12","SKU-ELE-0012","These Change","Electronics","125.07","170.10"
"193","13","SKU-OUT-0013","Thing Life","Outdoor & Gear","146.33","232.94"
"194","14","SKU-ELE-0014","Either Read","Electronics","207.51","308.11"
"195","15","SKU-OUT-0015","Shake Ask","Outdoor & Gear","156.58","249.99"
"196","16","SKU-OUT-0016","Keep Series","Outdoor & Gear","42.83","65.17"
"197","17","SKU-APP-0017","Resource Road","Apparel","27.84","49.20"
"198","18","SKU-APP-0018","Try Degree","Apparel","49.35","71.76"
"199","19","SKU-HOM-0019","Mrs Defense","Home & Kitchen","112.90","154.93"
"200","20","SKU-OUT-0020","Important Both","Outdoor & Gear","119.33","212.44"
"201","21","SKU-OUT-0021","In Rich","Outdoor & Gear","138.22","183.21"
"202","22","SKU-HOM-0022","No Usually","Home & Kitchen","83.26","148.28"
"203","23","SKU-HOM-0023","Image Because","Home & Kitchen","37.95","55.41"
"204","24","SKU-OUT-0024","Picture School","Outdoor & Gear","108.43","186.71"
"205","25","SKU-ELE-0025","Art Trade","Electronics","52.92","77.40"
"206","26","SKU-HOM-0026","Husband Certain","Home & Kitchen","81.04","140.62"
"207","27","SKU-ELE-0027","Section Both","Electronics","275.08","440.02"
"208","28","SKU-ELE-0028","Half Cup","Electronics","183.28","270.85"
"209","29","SKU-OUT-0029","Ability Society","Outdoor & Gear","117.89","157.08"
"210","30","SKU-HOM-0030","Per Best","Home & Kitchen","88.40","116.09"
"211","31","SKU-ELE-0031","All Everybody","Electronics","299.35","412.95"
"212","32","SKU-HOM-0032","Not Field","Home & Kitchen","68.97","97.33"
"213","33","SKU-ELE-0033","Me War","Electronics","96.71","148.42"
"214","34","SKU-ELE-0034","Century Everybody","Electronics","253.54","443.92"
"215","35","SKU-OUT-0035","Take Person","Outdoor & Gear","32.17","45.82"
"216","36","SKU-OUT-0036","Surface President","Outdoor & Gear","189.79","315.71"
"217","37","SKU-ELE-0037","Night Student","Electronics","108.91","148.68"
"218","38","SKU-ELE-0038","Opportunity Me","Electronics","111.40","195.26"
"219","39","SKU-ELE-0039","Reduce Impact","Electronics","159.43","272.42"
"220","40","SKU-APP-0040","Marriage Break","Apparel","74.33","97.88"
"221","41","SKU-OUT-0041","Power Eight","Outdoor & Gear","133.66","211.10"
"222","42","SKU-HOM-0042","Decide Marriage","Home & Kitchen","70.05","100.07"
"223","43","SKU-APP-0043","Movement Themselves","Apparel","46.98","80.76"
"224","44","SKU-HOM-0044","Guess Or","Home & Kitchen","27.23","44.39"
"225","45","SKU-APP-0045","Way Whatever","Apparel","65.70","98.36"
"226","46","SKU-HOM-0046","Cup Degree","Home & Kitchen","87.63","155.18"
"227","47","SKU-OUT-0047","Success Democrat","Outdoor & Gear","129.38","220.71"
"228","48","SKU-APP-0048","Vote Large","Apparel","45.01","68.08"
"229","49","SKU-ELE-0049","Open Tough","Electronics","211.34","328.53"
"230","50","SKU-OUT-0050","Century Necessary","Outdoor & Gear","67.25","94.90"
"231","51","SKU-HOM-0051","Simply Building","Home & Kitchen","80.39","111.88"
"232","52","SKU-ELE-0052","Kind Box","Electronics","192.97","292.00"
"233","53","SKU-APP-0053","List Turn","Apparel","55.86","100.29"
"234","54","SKU-HOM-0054","News Guess","Home & Kitchen","112.28","172.64"
"235","55","SKU-APP-0055","Benefit Almost","Apparel","23.15","40.99"
"236","56","SKU-ELE-0056","Such Listen","Electronics","190.06","335.82"
"237","57","SKU-HOM-0057","Build Parent","Home & Kitchen","96.42","155.89"
"238","58","SKU-HOM-0058","Where Machine","Home & Kitchen","117.17","192.21"
"239","59","SKU-OUT-0059","Agree Bank","Outdoor & Gear","67.33","116.83"
"240","60","SKU-OUT-0060","Statement Class","Outdoor & Gear","38.16","51.43"
