"sales_key","order_id","date_key","customer_key","product_key","order_status","quantity","unit_price","unit_cost","gross_revenue","cogs","gross_profit","allocated_discount","allocated_shipping","net_revenue","net_profit"
"1","1","20260827","1727","196","Completed","3","65.17","42.83","195.51","128.49","67.02","10.00","9.99","185.51","57.02"
"2","2","20260409","1682","196","Returned","1","65.17","42.83","65.17","42.83","22.34","5.00","0.00","60.17","17.34"
"3","3","20260915","1508","182","Completed","1","336.54","258.11","336.54","258.11","78.43","0.00","0.00","336.54","78.43"
"4","4","20260528","1855","225","Completed","2","98.36","65.70","196.72","131.40","65.32","0.00","5.99","196.72","65.32"
"5","5","20260905","1883","208","Returned","1","270.85","183.28","270.85","183.28","87.57","3.75","2.50","267.10","83.82"
"6","5","20260905","1883","200","Returned","1","212.44","119.33","212.44","119.33","93.11","3.75","2.50","208.69","89.36"
"7","5","20260905","1883","194","Returned","1","308.11","207.51","308.11","207.51","100.60","3.75","2.50","304.36","96.85"
"8","5","20260905","1883","222","Returned","1","100.07","70.05","100.07","70.05","30.02","3.75","2.50","96.32","26.27"
"9","6","20251031","1695","225","Completed","2","98.36","65.70","196.72","131.40","65.32","0.00","0.00","196.72","65.32"
"10","6","20251031","1695","235","Completed","1","40.99","23.15","40.99","23.15","17.84","0.00","0.00","40.99","17.84"
"11","7","20260528","1937","191","Completed","1","45.75","27.33","45.75","27.33","18.42","5.00","3.00","40.75","13.42"
"12","7","20260528","1937","188","Completed","1","147.11","98.96","147.11","98.96","48.15","5.00","3.00","142.11","43.15"
"13","8","20260701","1511","234","Completed","1","172.64","112.28","172.64","112.28","60.36","10.00","9.99","162.64","50.36"
"14","9","20260831","1873","238","Cancelled","1","192.21","117.17","192.21","117.17","75.04","0.00","0.00","192.21","75.04"
"15","9","20260831","1873","186","Cancelled","2","423.31","240.26","846.62","480.52","366.10","0.00","0.00","846.62","366.10"
"16","10","20260619","1713","195","Returned","1","249.99","156.58","249.99","156.58","93.41","3.33","0.00","246.66","90.08"
"17","10","20260619","1713","212","Returned","1","97.33","68.97","97.33","68.97","28.36","3.33","0.00","94.00","25.03"
"18","10","20260619","1713","229","Returned","1","328.53","211.34","328.53","211.34","117.19","3.33","0.00","325.20","113.86"
"19","11","20260901","1532","219","Completed","1","272.42","159.43","272.42","159.43","112.99","0.00","9.99","272.42","112.99"
"20","12","20250313","1857","214","Cancelled","1","443.92","253.54","443.92","253.54","190.38","0.00","0.00","443.92","190.38"
"21","13","20260830","1910","192","Completed","1","170.10","125.07","170.10","125.07","45.03","0.00","3.33","170.10","45.03"
"22","13","20260830","1910","184","Completed","1","93.32","65.41","93.32","65.41","27.91","0.00","3.33","93.32","27.91"
"23","13","20260830","1910","235","Completed","1","40.99","23.15","40.99","23.15","17.84","0.00","3.33","40.99","17.84"
"24","14","20260807","1882","195","Completed","1","249.99","156.58","249.99","156.58","93.41","0.00","5.99","249.99","93.41"
"25","15","20260831","1675","182","Returned","1","336.54","258.11","336.54","258.11","78.43","0.00","9.99","336.54","78.43"
"26","16","20260309","1553","196","Completed","2","65.17","42.83","130.34","85.66","44.68","0.00","0.00","130.34","44.68"
"27","17","20260426","1755","216","Completed","1","315.71","189.79","315.71","189.79","125.92","0.00","3.33","315.71","125.92"
"28","17","20260426","1755","191","Completed","1","45.75","27.33","45.75","27.33","18.42","0.00","3.33","45.75","18.42"
"29","17","20260426","1755","239","Completed","1","116.83","67.33","116.83","67.33","49.50","0.00","3.33","116.83","49.50"
"30","18","20260706","1509","211","Completed","1","412.95","299.35","412.95","299.35","113.60","0.00","5.00","412.95","113.60"
"31","18","20260706","1509","239","Completed","1","116.83","67.33","116.83","67.33","49.50","0.00","5.00","116.83","49.50"
"32","19","20250305","1502","231","Completed","1","111.88","80.39","111.88","80.39","31.49","10.00","9.99","101.88","21.49"
"33","20","20260915","1703","230","Completed","1","94.90","67.25","94.90","67.25","27.65","0.00","5.00","94.90","27.65"
"34","20","20260915","1703","181","Completed","1","101.22","64.39","101.22","64.39","36.83","0.00","5.00","101.22","36.83"
"35","21","20260828","1640","217","Completed","1","148.68","108.91","148.68","108.91","39.77","15.00","0.00","133.68","24.77"
"36","22","20260427","1854","195","Cancelled","1","249.99","156.58","249.99","156.58","93.41","0.00","5.99","249.99","93.41"
"37","23","20251229","1968","220","Returned","1","97.88","74.33","97.88","74.33","23.55","5.00","5.00","92.88","18.55"
"38","23","20251229","1968","198","Returned","3","71.76","49.35","215.28","148.05","67.23","5.00","5.00","210.28","62.23"
"39","24","20250614","1509","213","Returned","1","148.42","96.71","148.42","96.71","51.71","0.00","5.00","148.42","51.71"
"40","24","20250614","1509","207","Returned","1","440.02","275.08","440.02","275.08","164.94","0.00","5.00","440.02","164.94"
"41","25","20260429","1661","232","Cancelled","1","292.00","192.97","292.00","192.97","99.03","0.00","2.00","292.00","99.03"
"42","25","20260429","1661","207","Cancelled","1","440.02","275.08","440.02","275.08","164.94","0.00","2.00","440.02","164.94"
"43","25","20260429","1661","223","Cancelled","1","80.76","46.98","80.76","46.98","33.78","0.00","2.00","80.76","33.78"
"44","26","20260806","1617","199","Completed","1","154.93","112.90","154.93","112.90","42.03","0.00","3.00","154.93","42.03"
"45","26","20260806","1617","206","Completed","2","140.62","81.04","281.24","162.08","119.16","0.00","3.00","281.24","119.16"
"46","27","20260613","1537","209","Completed","1","157.08","117.89","157.08","117.89","39.19","3.75","2.50","153.33","35.44"
"47","27","20260613","1537","200","Completed","1","212.44","119.33","212.44","119.33","93.11","3.75","2.50","208.69","89.36"
"48","27","20260613","1537","184","Completed","2","93.32","65.41","186.64","130.82","55.82","3.75","2.50","182.89","52.07"
"49","27","20260613","1537","183","Completed","1","60.67","34.80","60.67","34.80","25.87","3.75","2.50","56.92","22.12"
"50","28","20260415","1704","227","Completed","1","220.71","129.38","220.71","129.38","91.33","0.00","5.99","220.71","91.33"
"51","29","20260808","1919","234","Completed","1","172.64","112.28","172.64","112.28","60.36","15.00","5.99","157.64","45.36"
"52","30","20251226","1946","195","Returned","1","249.99","156.58","249.99","156.58","93.41","5.00","0.00","244.99","88.41"
"53","30","20251226","1946","225","Returned","2","98.36","65.70","196.72","131.40","65.32","5.00","0.00","191.72","60.32"
"54","30","20251226","1946","229","Returned","1","328.53","211.34","328.53","211.34","117.19","5.00","0.00","323.53","112.19"
"55","31","20260910","1942","185","Completed","1","121.63","79.08","121.63","79.08","42.55","0.00","5.00","121.63","42.55"
"56","31","20260910","1942","204","Completed","1","186.71","108.43","186.71","108.43","78.28","0.00","5.00","186.71","78.28"
"57","32","20251222","1699","199","Returned","1","154.93","112.90","154.93","112.90","42.03","1.67","0.00","153.26","40.36"
"58","32","20251222","1699","197","Returned","1","49.20","27.84","49.20","27.84","21.36","1.67","0.00","47.53","19.69"
"59","32","20251222","1699","228","Returned","1","68.08","45.01","68.08","45.01","23.07","1.67","0.00","66.41","21.40"
"60","33","20260812","1517","227","Completed","1","220.71","129.38","220.71","129.38","91.33","0.00","0.00","220.71","91.33"
"61","33","20260812","1517","218","Completed","1","195.26","111.40","195.26","111.40","83.86","0.00","0.00","195.26","83.86"
"62","34","20260202","1580","182","Completed","1","336.54","258.11","336.54","258.11","78.43","0.00","3.33","336.54","78.43"
"63","34","20260202","1580","208","Completed","1","270.85","183.28","270.85","183.28","87.57","0.00","3.33","270.85","87.57"
"64","34","20260202","1580","227","Completed","1","220.71","129.38","220.71","129.38","91.33","0.00","3.33","220.71","91.33"
"65","35","20260814","1910","199","Completed","1","154.93","112.90","154.93","112.90","42.03","5.00","5.00","149.93","37.03"
"66","35","20260814","1910","212","Completed","2","97.33","68.97","194.66","137.94","56.72","5.00","5.00","189.66","51.72"
"67","36","20260920","1954","187","Completed","1","90.39","64.58","90.39","64.58","25.81","3.33","3.33","87.06","22.48"
"68","36","20260920","1954","196","Completed","1","65.17","42.83","65.17","42.83","22.34","3.33","3.33","61.84","19.01"
"69","36","20260920","1954","223","Completed","2","80.76","46.98","161.52","93.96","67.56","3.33","3.33","158.19","64.23"
"70","37","20260718","1826","226","Completed","1","155.18","87.63","155.18","87.63","67.55","15.00","5.99","140.18","52.55"
"71","38","20260628","1776","238","Cancelled","3","192.21","117.17","576.63","351.51","225.12","0.00","0.00","576.63","225.12"
"72","39","20260916","1575","235","Completed","1","40.99","23.15","40.99","23.15","17.84","5.00","9.99","35.99","12.84"
"73","40","20250808","1836","183","Cancelled","1","60.67","34.80","60.67","34.80","25.87","10.00","9.99","50.67","15.87"
"74","41","20260804","1607","222","Completed","1","100.07","70.05","100.07","70.05","30.02","5.00","9.99","95.07","25.02"
"75","42","20260429","1782","186","Completed","1","423.31","240.26","423.31","240.26","183.05","10.00","9.99","413.31","173.05"
"76","43","20260710","1755","225","Completed","1","98.36","65.70","98.36","65.70","32.66","0.00","9.99","98.36","32.66"
"77","44","20250727","1993","185","Completed","1","121.63","79.08","121.63","79.08","42.55","0.00","5.99","121.63","42.55"
"78","45","20250710","1674","199","Completed","2","154.93","112.90","309.86","225.80","84.06","2.50","5.00","307.36","81.56"
"79","45","20250710","1674","237","Completed","1","155.89","96.42","155.89","96.42","59.47","2.50","5.00","153.39","56.97"
"80","46","20251206","1563","229","Returned","1","328.53","211.34","328.53","211.34","117.19","2.50","1.50","326.03","114.69"
"81","46","20251206","1563","225","Returned","1","98.36","65.70","98.36","65.70","32.66","2.50","1.50","95.86","30.16"
"82","46","20251206","1563","187","Returned","2","90.39","64.58","180.78","129.16","51.62","2.50","1.50","178.28","49.12"
"83","46","20251206","1563","228","Returned","2","68.08","45.01","136.16","90.02","46.14","2.50","1.50","133.66","43.64"
"84","47","20260827","1826","230","Completed","1","94.90","67.25","94.90","67.25","27.65","5.00","0.00","89.90","22.65"
"85","47","20260827","1826","200","Completed","1","212.44","119.33","212.44","119.33","93.11","5.00","0.00","207.44","88.11"
"86","48","20260624","1575","191","Completed","1","45.75","27.33","45.75","27.33","18.42","5.00","5.00","40.75","13.42"
"87","48","20260624","1575","225","Completed","3","98.36","65.70","295.08","197.10","97.98","5.00","5.00","290.08","92.98"
"88","49","20260922","1738","183","Completed","1","60.67","34.80","60.67","34.80","25.87","0.00","0.00","60.67","25.87"
"89","49","20260922","1738","196","Completed","1","65.17","42.83","65.17","42.83","22.34","0.00","0.00","65.17","22.34"
"90","49","20260922","1738","215","Completed","1","45.82","32.17","45.82","32.17","13.65","0.00","0.00","45.82","13.65"
"91","49","20260922","1738","182","Completed","1","336.54","258.11","336.54","258.11","78.43","0.00","0.00","336.54","78.43"
"92","50","20251012","1759","188","Returned","1","147.11","98.96","147.11","98.96","48.15","1.25","2.50","145.86","46.90"
"93","50","20251012","1759","203","Returned","1","55.41","37.95","55.41","37.95","17.46","1.25","2.50","54.16","16.21"
"94","50","20251012","1759","202","Returned","1","148.28","83.26","148.28","83.26","65.02","1.25","2.50","147.03","63.77"
"95","50","20251012","1759","207","Returned","1","440.02","275.08","440.02","275.08","164.94","1.25","2.50","438.77","163.69"
"96","51","20260921","1956","202","Completed","2","148.28","83.26","296.56","166.52","130.04","0.00","9.99","296.56","130.04"
"97","52","20251226","1859","217","Completed","1","148.68","108.91","148.68","108.91","39.77","0.00","0.00","148.68","39.77"
"98","53","20260304","1699","214","Cancelled","1","443.92","253.54","443.92","253.54","190.38","5.00","9.99","438.92","185.38"
"99","54","20260818","1547","205","Cancelled","1","77.40","52.92","77.40","52.92","24.48","0.00","0.00","77.40","24.48"
"100","55","20260807","1761","186","Completed","1","423.31","240.26","423.31","240.26","183.05","0.00","3.00","423.31","183.05"
"101","55","20260807","1761","203","Completed","1","55.41","37.95","55.41","37.95","17.46","0.00","3.00","55.41","17.46"
"102","56","20250607","1887","189","Completed","2","413.12","294.37","826.24","588.74","237.50","15.00","0.00","811.24","222.50"
"103","57","20260913","1529","216","Completed","1","315.71","189.79","315.71","189.79","125.92","10.00","9.99","305.71","115.92"
"104","58","20260311","1650","190","Completed","1","100.47","76.85","100.47","76.85","23.62","0.00","3.33","100.47","23.62"
"105","58","20260311","1650","217","Completed","1","148.68","108.91","148.68","108.91","39.77","0.00","3.33","148.68","39.77"
"106","58","20260311","1650","183","Completed","2","60.67","34.80","121.34","69.60","51.74","0.00","3.33","121.34","51.74"
"107","59","20260627","1953","200","Completed","1","212.44","119.33","212.44","119.33","93.11","15.00","0.00","197.44","78.11"
"108","60","20260906","1903","205","Completed","1","77.40","52.92","77.40","52.92","24.48","10.00","9.99","67.40","14.48"
"109","61","20260316","1523","204","Cancelled","1","186.71","108.43","186.71","108.43","78.28","0.00","1.50","186.71","78.28"
"110","61","20260316","1523","196","Cancelled","2","65.17","42.83","130.34","85.66","44.68","0.00","1.50","130.34","44.68"
"111","61","20260316","1523","195","Cancelled","1","249.99","156.58","249.99","156.58","93.41","0.00","1.50","249.99","93.41"
